atribut 1,atribut 2,atribut 3,atribut 4,kelas
21.6,52.5,15.2,23.7,
6,63.125,11.2,18.9,
19.8,65.625,12.4,23.1,
7.8,50,12.6,22.2,
20.4,66.25,15.4,18.9,
6,46.875,15.2,17.1,
9.6,65,16,20.7,
7.2,39.375,15.2,22.8,
7.2,69.375,8.8,23.4,
9,43.125,14.4,14.4,
11.4,43.75,10.6,22.8,
9.6,58.125,10.8,14.1,
22.2,39.375,15.4,21.6,
21,71.875,11.2,19.8,
21.6,50,8.2,23.7,
22.8,78.125,14.8,20.1,
22.8,70.625,13,19.8,
22.2,39.375,11.6,19.2,
18,43.125,11.4,21.6,
18.6,75.625,9.2,23.4,
6,65,15.6,19.2,
12,51.875,8.6,18.3,
9.6,45,14,22.2,
7.2,57.5,10.8,18,
18,68.75,12.2,19.2,
6.6,60,12.8,22.5,
19.8,40,14.8,23.1,
20.4,46.875,13.8,20.7,
20.4,82.5,8.8,24,
19.8,76.875,15.8,23.7,
19.2,72.5,14,20.4,
8.4,60.625,8.2,20.4,
6,44.375,11.8,24,
18,67.5,9.2,19.8,
21.6,60.625,13.2,20.1,
10.8,68.75,11.6,17.1,
18,50.625,14.2,20.7,
9,47.5,8.2,20.7,
18.6,58.125,15.2,18.6,
7.8,34.375,15.6,18.9,
23.4,78.125,9.4,22.5,
6.6,69.375,14.2,21.3,
19.2,69.375,11,18,
6.6,41.25,14.8,13.2,
9,33.75,12.6,12.3,
23.4,51.25,9.4,21.9,
21,39.375,12.8,18.9,
22.2,40,13.2,21.6,
23.4,76.25,11.2,21.6,
7.8,41.875,8.4,13.8,
10.8,35.625,12.6,16.8,
18,81.25,8.4,19.2,
20.4,70.625,12.4,18.3,
21.6,74.375,11.6,23.4,
7.8,66.25,13.6,15.3,
22.2,76.875,13.8,20.4,
6,46.25,13.8,20.1,
9.6,61.25,15.4,23.4,
20.4,70,15.8,19.5,
6,38.75,14,15.3,
8.4,51.25,11,24,
9,35.625,15.6,17.4,
10.2,44.375,10.2,21.9,
18.6,57.5,13.4,22.8,
6.6,50,15.2,12.9,
22.2,79.375,13.2,21.3,
22.2,49.375,9.6,23.7,
21,40,15.2,21.3,
7.8,59.375,8.8,16.2,
6.6,40,12.4,23.1,
19.2,78.75,8.4,21.9,
7.8,46.25,11.6,23.1,
6,62.5,8.2,21,
16.2,60,13,11.1,
10.2,33.75,10.2,19.5,
22.2,64.375,15.6,19.5,
10.8,38.125,13.4,21,
10.2,60.625,10.4,18,
6,55.625,11.8,23.7,
7.8,66.25,9.4,13.2,
7.2,63.75,14.4,22.5,
22.8,75,13.2,21,
21.6,61.25,13.2,18.3,
11.4,55,14.6,14.4,
8.4,69.375,14.4,15.6,
18,46.875,14.4,21.9,
19.2,42.5,13.6,22.8,
6,50.625,13,19.2,
21.6,40,9.2,22.2,
22.2,53.125,13,20.1,
11.4,45.625,8.8,12.6,
9.6,38.125,15.8,16.5,
7.8,41.875,14.2,18,
6.6,38.125,14.8,16.8,
18,44.375,9.4,21.6,
22.8,49.375,11.6,21.6,
23.4,50.625,10.4,19.2,
21.6,67.5,8,20.4,
9.6,46.25,14.4,14.1,
19.8,59.375,13.6,21.6,
20.4,62.5,11.2,22.8,
6,38.125,8,15.6,
20.4,52.5,14.8,22.5,
24,66.25,16,23.4,
